HRTA,MYOR,MIKA,UNTR
-0.033006432,0.167054435,0.044095286,0.04820227
0.006689017,-0.122602642,-0.060624672,0
-0.020202575,-0.201637148,0.125164223,0.023257068
-0.048790253,-0.100643411,0.000926238,0.05588007
0.062303811,0.089948134,0.091092594,-0.273293222
-0.048119232,0.021277293,-0.056512261,-0.170957662
0,0.100083663,-0.146132817,0.253195959
-0.014184579,0,-0.006230505,0
-0.01438868,-0.247241437,-0.098440146,0.135174855
-0.00727279,-0.130053009,-0.011560779,0.033901086
-0.030467627,-0.165792335,0.120363672,-0.195744432
0.11607222,0.048009422,0.090613052,-0.013605388
-0.093257488,0.171850289,-0.122029236,-0.027779495
-0.078164775,0.063715648,0.157185587,0.013986288
0.016129357,0.048202333,-0.069885667,0.200670414
0.00796819,0.211309089,0.097455324,0.033522614
0.194156021,0,-0.003577877,0
-0.226416899,-0.04879034,-0.003590633,0.189620883
0.055791367,-0.16251875,-0.106160208,0.044451915
0.007722006,-0.075471425,0.027615195,-0.044451915
-0.031252495,-0.094028805,-0.027615195,-0.234571971
-0.016000383,-0.014184691,0.019802733,-0.122103032
0.016000383,-0.01438857,0.034685507,-0.200670651
0.322773321,0.096626779,-0.038614846,-0.154150728
-0.253780528,-0.082238209,-0.219214275,-0.03774002
0.105360552,0.02817088,-0.019802683,0.159630144
0,0.01379327,0.131433575,-0.121890124
-0.143100851,0.537854549,0.013303973,0.071459402
-0.262364206,0.113328592,-0.111744042,-0.017391996
0.270027094,-0.036367443,-0.087459289,0.351397667
-0.031010249,-0.076961149,-0.013532014,0.259511459
0.023347361,0.21130894,-0.013717644,-0.100083742
-0.088410917,0.064538424,0.051155126,0.146603592
-0.00843889,0.11778325,0.125626225,-0.105360435
-0.107245507,0,-0.032944175,0.310154806
0.098734795,-0.02817098,-0.08223802,0.169899151
0,0,-0.069920983,0.117782774
-0.18635593,0.02817098,0.046266714,0.328504304
0.010582109,0.08004256,0.061875502,0
0.137470991,-0.025975426,-0.091567241,0.148419998
0.112673163,-0.054067133,-0.044825385,-0.053110093
-0.140581951,0.08004256,-0.199080222,0.182321959
0.018692133,-0.108213539,0.106059634,-0.405465177
-0.057158414,0.025975484,-0.009478749,0.022473133
-0.009852296,0.028170903,-0.042145562,0.085157217
0.180670029,0,0.250578239,0.115512868
0.094558583,0.367724971,-0.005167973,0.053110093
NA,-0.080042981,0.112588223,0.243622384
NA,0,-0.160342615,0.077961545
NA,0.016529354,0.029453283,0.128832541
NA,0.04800905,0.068816929,0.23538953
NA,-0.151549904,0.237476754,0.059592111
NA,0.087011499,0.060855329,-0.050858587
NA,-0.09614371,-0.041437238,0.02575266
NA,-0.106380631,0.026567016,0.104512237
NA,-0.190201738,0,0.128749371
NA,-0.195060488,-0.026567016,0.187341662
NA,-0.015504338,-0.047252879,-0.138358376
NA,-0.081345624,-0.142790669,0
NA,0.32918181,-0.100205914,-0.046212928
NA,0.02409753,0.197628028,-0.027399
NA,-0.140357223,-0.043110134,0.020618985
NA,0.066249274,0.055688837,0.040005824
NA,0.278020182,-0.003716077,0.038466055
NA,-0.009756131,0.033198069,0.124052675
NA,-0.050261858,0.070895822,0.191538274
NA,0.010256381,0.026267927,-0.009216601
NA,0.035216584,0.011049836,0
NA,0.167054082,0.060409128,0.05754261
NA,0.082013224,0.023851216,0.026433051
NA,0.224716645,-0.121578107,0.050858544
NA,0.018692409,-0.003809528,0.079406762
NA,-0.131769154,-0.015384919,-0.00884163
NA,0.041384885,-0.05579136,0.015384731
NA,-0.062738223,NA,0.030077419
NA,0.014286067,NA,0.029199184
NA,0.157185512,NA,0.062738606
NA,0.161912724,NA,0.065382528
NA,-0.015584687,NA,-0.045315384
NA,-0.058197656,NA,0.088665892
NA,0.011236194,NA,0.052366743
NA,-0.028330606,NA,-0.05989814
NA,0,NA,0.012270113
NA,0.005730687,NA,0.289205291
NA,-0.058840445,NA,0.033138644
NA,-0.101999326,NA,-0.031605206
NA,-0.259014046,NA,0.19900109
NA,-0.008733819,NA,-0.00376643
NA,0.183782661,NA,-0.054276585
NA,-0.022140994,NA,-0.040656268
NA,0.092592774,NA,0.181629978
NA,0.008368078,NA,-0.173365655
NA,0,NA,-0.051643048
NA,-0.19068971,NA,-0.052476688
NA,-0.008438935,NA,-0.090971868
